CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
672313	C 1 2/m 1	Ca2 Li		Novel structures and superconductivities of calcium-lithium alloys at high pressures: A first-principles study	Journal of Alloys and Compounds (2016) 669,  p. 101-107	4	293.00	2016	-1	
672345	R -3 m H	Y2 C	CdCl2(3R)	The structural, electronic, elastic and thermodynamics properties of 2D transition-metal electride Y2C via first-principles calculations	Journal of Alloys and Compounds (2016) 654,  p. 180-184	3	293.00	2016	-1	
672349	P 62 2 2	Cr Si2	CrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	3	293.00	2016	-1	
672350	C m c m	Cr Si2		A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	4	293.00	2016	-1	
672351	F d d d Z	Cr Si2	TiSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	8	293.00	2016	-1	
672352	P 62 2 2	Hf Si2	CrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	3	293.00	2016	-1	
672353	C m c m	Hf Si2	ZrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	4	293.00	2016	-1	
672354	P 62 2 2	Nb Si2	CrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	3	293.00	2016	-1	
672355	P 62 2 2	Ta Si2	CrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	3	293.00	2016	-1	
672356	P 62 2 2	Ti Si2	CrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	3	293.00	2016	-1	
672357	F d d d Z	Ti Si2	TiSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	8	293.00	2016	-1	
672358	P 62 2 2	V Si2	CrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	3	293.00	2016	-1	
672359	P 62 2 2	Zr Si2	CrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	3	293.00	2016	-1	
672360	C m c m	Zr Si2	ZrSi2	A modeling approach for new CrSi2 based alloys: Application to metastable Cr1-xZrxSi2 as a potential thermoelectric material	Journal of Alloys and Compounds (2016) 662,  p. 150-156	4	293.00	2016	-1	
672404	I m m a	Fe B2	CeCu2	Exploring high-pressure FeB2: Structural and electronic properties predictions	Journal of Alloys and Compounds (2016) 678,  p. 109-112	4	293.00	2016	-1	
672453	P n -3 m Z	Cu2 O	Cuprite#Cu2O	Incorrect DFT-GGA predictions of the stability of non-stoichiometric/polar dielectric surfaces. The case of Cu2O(111)	Physical Chemistry Chemical Physics (2016) 18, (9) p. 6729-6735	2	293.00	2016	-1	
672455	P 6/m m m	Li2 Zn	CaHg2	Globally stable structures of LixZn (x = 1-4) compounds at high pressures	Physical Chemistry Chemical Physics (2016) 18, (6) p. 4437-4443	1	293.00	2016	-1	
