CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
30795	C c 2 m	Si O2		Addenda and corrigendum for "On the split-atom model for hexagonal tridymite"	Zeitschrift fuer Kristallographie (1981) 157,  p. 93-93	8	733.00	1981	-1	
41447	P 32 2 1	Si O2	Quartz(low)#SiO2	Interatomic potentials and the structural properties of silicon dioxide under pressure	Physical Review B: Condensed Matter and Materials Physics (1990) 41,  p. 10866-10869	3	293.00	1990	-1	
41450	P -3 m 1	Ca Si2	BaSi2#EuGe2	Electronic and structural properties of Ca Si2	Physical Review B: Condensed Matter and Materials Physics (1990) 41,  p. 7587-7592	1	293.00	1990	-1	
41469	P 32 2 1	Si O2	Quartz(low)#SiO2	Structural properties of alpha-quartz under high pressure and amorphization effects	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 12558-12565	3	293.00	1993	-1	
41471	P 32 2 1	Si O2	Quartz(low)#SiO2	Structural properties of alpha-quartz under high pressure and amorphization effects	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 12558-12565	3	293.00	1993	-1	
41472	P 32 2 1	Si O2	Quartz(low)#SiO2	Structural properties of alpha-quartz under high pressure and amorphization effects	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 12558-12565	3	293.00	1993	-1	
41473	P 32 2 1	Si O2	Quartz(low)#SiO2	Structural properties of alpha-quartz under high pressure and amorphization effects	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 12558-12565	3	293.00	1993	-1	
41474	P 32 2 1	Si O2	Quartz(low)#SiO2	Structural properties of alpha-quartz under high pressure and amorphization effects	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 12558-12565	3	293.00	1993	-1	
41475	P 32 2 1	Si O2	Quartz(low)#SiO2	Structural properties of alpha-quartz under high pressure and amorphization effects	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 12558-12565	3	293.00	1993	-1	
41476	P 32 2 1	Si O2	Quartz(low)#SiO2	Structural properties of alpha-quartz under high pressure and amorphization effects	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 12558-12565	3	293.00	1993	-1	
41492	P 31 2 1	Be F2	Quartz(low)#SiO2	Crystal-structure calculation with distorted ions	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 2889-2908	3	293.00	1993	-1	
41493	P 31 2 1	Ti O2	Quartz(low)#SiO2	Crystal-structure calculation with distorted ions	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 2889-2908	3	293.00	1993	-1	
41668	P 42/m n m	Si O2	Rutile#TiO2	Structure-stability relationships for all-silica structures	Physical Review B: Condensed Matter and Materials Physics (1995) 52,  p. 12579-12590	2	293.00	1995	-1	
41670	P -3 m 1	B2 O		Properties of B2 O: an unsymmetrical analog of carbon	Physical Review B: Condensed Matter and Materials Physics (1995) 52,  p. 15807-15811	2	293.00	1995	-1	
41671	P 42/m n m	Si O2	Rutile#TiO2	Structure and stability of several high-pressure cristalline polymorphs of silica	Physical Review B: Condensed Matter and Materials Physics (1995) 51,  p. 16392-16395	2	293.00	1995	-1	
41672	P 32 2 1	Si O2	Quartz(low)#SiO2	Structure and stability of several high-pressure cristalline polymorphs of silica	Physical Review B: Condensed Matter and Materials Physics (1995) 51,  p. 16392-16395	3	293.00	1995	-1	
