,Collection Code,Formula,Prototype
0,608910,TiAlNi,Laves(2H)#MgZn2
1,159910,TiO2,Anatase#TiO2
2,622653,Dy8Fe4.8Co11.2,MgCu2(filled)-frame
3,180903,SiO2,Cristobalite#SiO2
4,246888,MnO2,Rutile#TiO2
5,102914,Yb3.2In4Ga0.8Cu16,Laves(cub)#MgCu2
6,625882,ZrTi(CrFe)2,Mn2ZrHx-frame#MgZn2
7,620722,Ce8Fe13.6Co2.4,Laves(cub)#MgCu2
8,108587,MgZn2,Laves(2H)#MgZn2
9,89278,SiO2,Quartz(low)#SiO2
10,616290,HfBe2,SmNiSb
11,649780,Tl2Pt,CuAl2
12,638179,HfV2,MgCu2(filled)-frame
13,52468,TmSi2,AlB2
14,244053,MoO2,MoO2#VO2
15,423293,Nd2Bi,La2Sb
16,155680,Ti4Al3.998Fe4.002,Laves(2H)#MgZn2
17,615955,BaMg2,Laves(2H)#MgZn2
18,624550,Y8Co14.4Ni1.6,Laves(cub)#MgCu2
20,163332,Mn2Sb,Ni2In#Co1.75Ge
21,625896,Zr3.2Ti0.8Mn2Cr2Fe4,Laves(2H)#MgZn2
22,624236,Ta6Co16.72Mo1.28,Laves(4H)#MgNi2
23,198180,Ce1.92Pr2.08O8,Fluorite#CaF2
24,622647,DyCo2,Laves(cub)#MgCu2
25,41414,SiO2,Quartz(low)#SiO2
26,43203,Hf2S,NbS2(hP6)
28,159904,W6C3.0071,W2C1-x
29,40722,Ti0.4Nb0.8Cr0.8O4,Rutile#TiO2
30,260873,CaH2,Cotunnite#PbCl2
31,603879,NiAs2Rh3,TiNiSi#MgSrSi
32,103388,EuGa2,AlB2
33,621366,CeIn2,CeCu2
34,169637,TiO2,Rutile#TiO2
35,42135,Ca2Sb,La2Sb
37,641492,LaNi2,Laves(cub)#MgCu2
38,638637,Hf7.6Si0.4Mo16,Laves(cub)#MgCu2
39,628342,Mg7.056Cu13.56Si3.384,Mo3Al2C
40,291652,Tb8Al2.4Fe13.6,Laves(cub)#MgCu2
41,9423,CrO2,Rutile#TiO2
42,657596,Li2S,Fluorite#CaF2
43,53986,FeF2,Rutile#TiO2
45,642831,Mg2Si,Fluorite#CaF2
46,31871,B2Ru,RuB2
48,657582,NdGa2,AlB2
49,53992,FeO2,Brucite#Mg(OH)2
50,169623,TiO2,Rutile#TiO2
51,608938,U5.68Al8Ni10.32,Laves(4H)#MgNi2
52,86605,Ce0.16Y0.08Zr1.76O4,Zirconia#ZrO2(HT)
53,194786,D8V3.6Cr0.4,Fluorite#CaF2
54,291120,ZrO2,Baddeleyite#ZrO2(mP12)
55,56154,CaO2,Brucite#Mg(OH)2
56,633945,TiFe2,Laves(2H)#MgZn2
57,644515,ZrMo2,Laves(cub)#MgCu2
58,260654,SrGa2,AlB2
59,652377,TbSi2,ThSi2
60,102069,TbCd2,CaHg2
61,58192,TmAl2,Laves(cub)#MgCu2
62,105706,SrPd2,Laves(cub)#MgCu2
63,198157,Ta2B,CuAl2
64,630294,DySi2,AlB2
65,421335,GdS2,CeSe2
66,638810,HfRe2,Laves(2H)#MgZn2
67,650206,ZrRe2,Laves(2H)#MgZn2
