Collection_Code,Formula,Prototype
159910,TiO2,Anatase#TiO2
180903,SiO2,Cristobalite#SiO2
246888,MnO2,Rutile#TiO2
108587,MgZn2,Laves(2H)#MgZn2
89278,SiO2,Quartz(low)#SiO2
616290,HfBe2,SmNiSb
649780,Tl2Pt,CuAl2
638179,HfV2,MgCu2(filled)-frame
52468,TmSi2,AlB2
244053,MoO2,MoO2#VO2
423293,Nd2Bi,La2Sb
615955,BaMg2,Laves(2H)#MgZn2
163332,Mn2Sb,Ni2In#Co1.75Ge
622647,DyCo2,Laves(cub)#MgCu2
41414,SiO2,Quartz(low)#SiO2
43203,Hf2S,NbS2(hP6)
260873,CaH2,Cotunnite#PbCl2
103388,EuGa2,AlB2
621366,CeIn2,CeCu2
169637,TiO2,Rutile#TiO2
42135,Ca2Sb,La2Sb
641492,LaNi2,Laves(cub)#MgCu2
9423,CrO2,Rutile#TiO2
657596,Li2S,Fluorite#CaF2
53986,FeF2,Rutile#TiO2
642831,Mg2Si,Fluorite#CaF2
31871,B2Ru,RuB2
657582,NdGa2,AlB2
53992,FeO2,Brucite#Mg(OH)2
169623,TiO2,Rutile#TiO2
291120,ZrO2,Baddeleyite#ZrO2(mP12)
56154,CaO2,Brucite#Mg(OH)2
633945,TiFe2,Laves(2H)#MgZn2
644515,ZrMo2,Laves(cub)#MgCu2
260654,SrGa2,AlB2
652377,TbSi2,ThSi2
102069,TbCd2,CaHg2
58192,TmAl2,Laves(cub)#MgCu2
105706,SrPd2,Laves(cub)#MgCu2
198157,Ta2B,CuAl2
630294,DySi2,AlB2
421335,GdS2,CeSe2
638810,HfRe2,Laves(2H)#MgZn2
650206,ZrRe2,Laves(2H)#MgZn2
658882,DyCo2,Laves(cub)#MgCu2
68737,MnF2,Rutile#TiO2
31642,CeSi2,ThSi2
27020,CeSe2,CeSe2
423244,YbSi2,ThSi2
56815,SmF2,SmF2
36139,KC2,NaHC2
643508,Mn2Sb,Cu2Sb
85495,TiO2,Rutile#TiO2
650212,ZrRe2,Laves(2H)#MgZn2
616247,Be2Cu,Laves(cub)#MgCu2
649743,TbPt2,Laves(cub)#MgCu2
610636,HfAs2,Co2Si
23534,KrF2,KrF2
40911,Mg2Ni,Mg2NiH4(C2/c)
633951,TiFe2,Laves(2H)#MgZn2
44587,SmB2,AlB2
609429,Ta2Al,U#Cr0.49Fe0.51
611266,AsRh2,TiNiSi#MgSrSi
104424,HoNi2,Laves(cub)#MgCu2
260668,BaCd2,CeCu2
56183,TiH2,Fluorite#CaF2
60431,Li2O,Fluorite#CaF2
615766,ZrB2,AlB2
89287,SiO2,Quartz(high)#SiO2
611500,TiAs2,TiAs2
651124,TbS2,PrOI
607362,ErAl2,Laves(cub)#MgCu2
88199,D2Mg,PbO2#Fe2N.94
89293,SiO2,Quartz(high)#SiO2
56829,EuBr2,SrBr2
29025,EuF2,Fluorite#CaF2
102727,YCo2,Laves(cub)#MgCu2
615772,ZrB2,AlB2
259943,VSb2,CuAl2
643534,Mn2Sb,Cu2Sb
653041,ZrTc2,Laves(2H)#MgZn2
77159,Mo2C,hcp(filled)#Nb2N
613465,Cr2B,Mg2Cu
44593,TbB2,AlB2
24267,Ag2Te,Ag2Te
81426,D2Sr,Cotunnite#PbCl2
18011,SrCl2,Fluorite#CaF2
82649,UTe2,UTe2
607821,GdAl2,Laves(cub)#MgCu2
123272,IrS2,P2I4
198382,UBi2,UP2#UAs2
759785,MgF2,CaCl2
605944,TmAg2,AlCr2#MoSi2
624752,PrCo2,Laves(cub)#MgCu2
657964,YMg2,Laves(2H)#MgZn2
643939,ZrMn2,Laves(2H)#MgZn2
645390,NbSe2,NbSe2
621602,CeNi2,Laves(cub)#MgCu2
627273,Eu2Cu,Ca2Cu
608290,LaAl2,Laves(cub)#MgCu2
646699,SmNi2,Laves(cub)#MgCu2
43029,SmSb2,SmSb2
410315,Sr2N,Sr2N
623773,HfCo2,Laves(cub)#MgCu2
26869,Si2W,AlCr2#MoSi2
16772,ZrSi2,ZrSi2
42323,Cu2Sb,Cu2Sb
621616,CeNi2,Laves(cub)#MgCu2
84576,SnO2,Rutile#TiO2
625470,Ti2Co,Ti2Ni
635663,YbGa2,CaIn2
619362,Ca2Hg,Co2Si
23722,MoO2,MoO2#VO2
759752,SnO2,CaCl2
31326,TiO2,Rutile#TiO2
230261,CaGe2,ZrCl(filled)#SmSI
250595,NbS2,NbS2(hP6)
642372,Li2Si,Li2Si
759746,SnO2,CaCl2
613883,Fe2B,CuAl2
619376,CaIn2,CaIn2
108752,VSn2,Mg2Cu
38316,CoP2,FeAsS#CoSb2
103607,PuFe2,Laves(cub)#MgCu2
624791,Pu2Co,ZrNiAl#Mg2In
656449,CaF2,Cotunnite#PbCl2
638390,ScNi2,MgCu2(filled)-frame
150511,PrPt2,Laves(cub)#MgCu2
24717,Zr2Si,CuAl2
646882,TbNi2,Laves(cub)#MgCu2
122839,Mg2Sn,Fluorite#CaF2
186631,FeSb2,Marcasite#FeS2(oP6)
39020,SiO2,Zeolite-ZSM-5(Pnma)-frame#Si96O192
102257,CePt2,Laves(cub)#MgCu2
651440,YbS2,LaS2(tP24)
9190,CdI2,CdI2(hP12)
44791,CdI2,CdI2(hP3)
650992,SnS2,CdI2(hP3)
60627,TaO2,NbO2
76045,CaF2,Fluorite#CaF2
643736,MnSn2,CuAl2
186625,FeSb2,Marcasite#FeS2(oP6)
197728,Ti2Co,Ti2Ni
150505,NdGe2,ThSi2
15441,ThNi2,AlB2
42519,FeGe2,CuAl2
41010,ZrO2,Baddeleyite#ZrO2(mP12)
633428,ScFe2,Laves(2H)#MgZn2
641900,La2Sb,La2Sb
1453,CaSi2,ThSi2
618875,TbC2,CaC2-I(I4/mmm)
161135,SiNi2,TiNiSi#MgSrSi
168677,HoSn2,ZrSi2
199856,Ta2N,hcp(filled)#Nb2N
24850,UO2,Fluorite#CaF2
172161,ZrO2,Baddeleyite#ZrO2(mP12)
638227,LaH2,Fluorite#CaF2
184191,NdMn2,NdMn2Hx(Cmcm)
42525,Ta2B,CuAl2
42243,CdI2,CdI2(hP42)
252209,SnS2,BaSi2#EuGe2
23871,ReB2,ReB2
633414,ScFe2,Laves(4H)#MgNi2
625262,Co2Sn,Ni2In#Co1.75Ge
42257,CdI2,CdI2(hP18)
621004,CeFe2,Laves(cub)#MgCu2
609788,AmOs2,Laves(2H)#MgZn2
630109,Dy2Pt,TiNiSi#MgSrSi
638555,ZrH2,ThH2
184185,NdMn2,NdMn2Hx(Cmcm)
15469,CrCl2,CaCl2
42531,Co2B,CuAl2
248523,CaSi2,EuGe2#PtTe2
643859,UMn2,Laves(cub)#MgCu2
122742,D2O,H2O(Ih)
39168,TiO2,Rutile#TiO2
68441,Ag2F,Ag2F
103767,LaGa2,AlB2
24887,CeO2,Fluorite#CaF2
63272,SbO2,HgMoO4
626958,ZrCr2,Laves(cub)#MgCu2
155247,SiO2,Quartz(low)#SiO2
76119,FeSb2,Marcasite#FeS2(oP6)
611138,As2Os,Marcasite#FeS2(oP6)
630848,ErNi2,Laves(cub)#MgCu2
252584,SiO2,Ferrierite-frame#Si36O72
614726,Mn2B,CuAl2
103773,NpGa2,SmNiSb
601465,NpSb2,SmSb2
154603,TiO2,Anatase#TiO2
653445,ZrW2,Laves(cub)#MgCu2
605603,NdAg2,CeCu2
380398,PrO2,MnO2
36501,Cs2Te,Cs2Te
628791,CuS2,Pyrite#FeS2(cP12)
626964,ZrCr2,Laves(cub)#MgCu2
32767,HfO2,Baddeleyite#ZrO2(mP12)
42280,CdI2,CdI2(hR36)
24105,MnO2,Brucite#Mg(OH)2
641733,LaRh2,Laves(cub)#MgCu2
32773,HfO2,Baddeleyite#ZrO2(mP12)
42294,CdI2,CdI2(hR24)
103029,LaCu2,SmNiSb
105458,YNi2,Laves(cub)#MgCu2
645233,NbPt2,MoPt2
652997,TbZn2,CeCu2
101158,HoC2,CaC2-I(I4/mmm)
649409,PrTe2,PrOI
25569,BeO2,Zn(OH)2
621979,CeRu2,Laves(cub)#MgCu2
100911,NiTe2,BaSi2#EuGe2
56008,OsO2,Rutile#TiO2
634145,Zr2Fe,CuAl2
57470,Sb2Pt,Pyrite#FeS2(cP12)
198786,YC2,CaC2-I(I4/mmm)
37384,CdI2,CdI2(hP36)
632252,HfFe2,Laves(cub)#MgCu2
102860,ZrCr2,Laves(cub)#MgCu2
604938,CeAg2,CeCu2
252751,CaC2,CaC2-II(C12/c1)#ThC2
630451,ErFe2,Laves(cub)#MgCu2
252745,CaC2,CaC2-II(C12/c1)#ThC2
632246,HfFe2,Laves(2H)#MgZn2
622733,ErCo2,Laves(cub)#MgCu2
123104,ZrO2,Zirconia#ZrO2(HT)
143828,Cu2O,Cuprite#Cu2O
58031,NdAl2,Laves(cub)#MgCu2
637458,GeO2,Quartz(low)#SiO2
634179,ZrFe2,Laves(cub)#MgCu2
608680,Nb2Al,U#Cr0.49Fe0.51
42041,FeSe2,Marcasite#FeS2(oP6)
42727,FeTe2,Marcasite#FeS2(oP6)
647829,Te2Os,Pyrite#FeS2(cP12)
4073,CrI2,CuCl2
197489,Zr2Fe,CuAl2
92062,GeO2,SiO2(mP18)
198976,ErAu2,AlCr2#MoSi2
59475,InPd2,Co2Si
42733,La2Sb,La2Sb
629882,DyIr2,Laves(cub)#MgCu2
637464,GeO2,Rutile#TiO2
14213,BCl2,ClO2
56020,OsS2,Pyrite#FeS2(cP12)
164273,NdMg2,Laves(cub)#MgCu2
198023,NpAl2,Laves(cub)#MgCu2
624395,NdCo2,Laves(cub)#MgCu2
634186,ZrFe2,Laves(cub)#MgCu2
633831,TbFe2,Laves(cub)#MgCu2
638964,HfTe2,CdI2(hP3)
1692,ZnCl2,ZnCl2
610030,Co2As,ZrNiAl#Fe2P
646510,NiSe2,Pyrite#FeS2(cP12)
62408,SiO2,Quartz(low)#SiO2
58794,KBi2,Laves(cub)#MgCu2
610742,As2Ir,FeAsS#CoSb2
620681,CeCo2,Laves(cub)#MgCu2
161492,CoSb2,FeAsS#CoSb2
609575,UAl2,Laves(cub)#MgCu2
51968,Lu2In,Ni2In#Co1.75Ge
199329,CuS2,Pyrite#FeS2(cP12)
654666,SiNi2,Ni2In#Co1.75Ge
629855,Dy2In,Ni2In#Co1.75Ge
36703,ZrO2,Fluorite#CaF2
51940,TiO2,Rutile#TiO2
634804,NdGa2,AlB2
58964,DyCd2,CaHg2
199467,PrRe2,Laves(2H)#MgZn2
246903,Cu2O,Cuprite#Cu2O
652559,Si2W,AlCr2#MoSi2
81977,SnCl2,Cotunnite#PbCl2
54186,CaC2,CaC2-I(I4/mmm)
100050,TaSi2,CrSi2
657421,LaGa2,AlB2
100044,NbGe2,CrSi2
30400,OsO2,Rutile#TiO2
246917,NiS2,Pyrite#FeS2(cP12)
645757,NdRh2,Laves(cub)#MgCu2
104544,PuIr2,Laves(cub)#MgCu2
72155,CeO2,Fluorite#CaF2
167961,TiO2,Rutile#TiO2
24313,TaSe2,CdI2(hP3)
643441,MnS2,Marcasite#FeS2(oP6)
199472,ErRe2,Laves(2H)#MgZn2
52284,BiAu2,Laves(cub)#MgCu2
167960,TiO2,Rutile#TiO2
199314,HfAl2,Laves(2H)#MgZn2
197339,NdS2,PrOI
66135,Nb2P,Nb2As
105897,URe2,Laves(2H)#MgZn2
30373,SrSi2,SrSi2
40694,UTe2,UTe2
51941,TiO2,Rutile#TiO2
36702,ZrO2,Zirconia#ZrO2(HT)
638959,HfTe2,CdI2(hP3)
159124,TiMn2,Laves(2H)#MgZn2
100051,Li2Ga,Li2Ga
54187,CaC2,CaC2-II(C12/c1)#ThC2
607217,DyAl2,Laves(cub)#MgCu2
81976,PbCl2,Cotunnite#PbCl2
246902,CrO2,Rutile#TiO2
196755,KO2,CaC2-I(I4/mmm)
619001,UC2,CaC2-I(I4/mmm)
22039,EuCl2,Cotunnite#PbCl2
652570,YSi2,GdSi1.4
632284,HoFe2,Laves(cub)#MgCu2
103216,ErFe2,Laves(cub)#MgCu2
633824,TbFe2,Laves(cub)#MgCu2
656070,Zr2Ni,CuAl2
636784,LaGe2,GdSi1.4
650415,TaRh2,Co2Si
28500,NbO2,NbO2
634187,ZrFe2,Laves(cub)#MgCu2
105115,ZrMo2,Laves(cub)#MgCu2
197477,AmSe2,PrOI
27155,NbO2,NbO2
622083,CeSb2,SmSb2
632290,HoFe2,Laves(cub)#MgCu2
62409,SiO2,Quartz(low)#SiO2
620694,CeCo2,Laves(cub)#MgCu2
638030,ThGe2,ZrSi2
42732,CdP2,CdP2
198977,YbAu2,AlCr2#MoSi2
164272,PrMg2,Laves(cub)#MgCu2
104586,UIr2,Laves(cub)#MgCu2
56021,As2Pt,Pyrite#FeS2(cP12)
637465,GeO2,Rutile#TiO2
638742,HfO2,ZrO2(oP12)
634178,ZrFe2,Laves(cub)#MgCu2
197488,Hf2Fe,Ti2Ni
651092,TaS2,NbS2(hP6)
42726,FeS2,Marcasite#FeS2(oP6)
632247,HfFe2,Laves(2H)#MgZn2
58756,ZrBe2,SmNiSb
43410,TaS2,MoS2(3R)
630450,ErFe2,Laves(cub)#MgCu2
252744,CaC2,CaC2-I(I4/mmm)
637459,GeO2,Quartz(low)#SiO2
143829,Cu2O,Cuprite#Cu2O
123105,ZrO2,Zirconia#ZrO2(HT)
413557,Ga2Ir,Fe3Al2Si4
56009,IrO2,Rutile#TiO2
55500,CrSn2,Mg2Cu
651910,SnSe2,CdI2(hP3)
43362,AsRh2,Fluorite#CaF2
252750,CaC2,CaC2-I(I4/mmm)
102861,ZrCr2,Laves(cub)#MgCu2
37385,CdI2,CdI2(hR9)
632253,HfFe2,Laves(2H)#MgZn2
198208,SnO2,Rutile#TiO2
105459,YNi2,Laves(cub)#MgCu2
236995,UGe2,UGe2
103028,LaCu2,SmNiSb
42295,CdI2,CdI2(hR24)
617574,DyC2,CaC2-I(I4/mmm)
638597,HfMn2,Laves(4H)#MgNi2
32772,HfO2,Baddeleyite#ZrO2(mP12)
641054,Sn2Ir,Fluorite#CaF2
621978,CeRu2,Laves(cub)#MgCu2
101159,ErC2,CaC2-I(I4/mmm)
601470,PrCd2,Cd2Ce
645232,Nb2Pt,U#Cr0.49Fe0.51
104035,YbGa2,CaIn2
653444,ZrW2,Laves(cub)#MgCu2
154602,TiO2,Anatase#TiO2
197649,P2Ru,Marcasite#FeS2(oP6)
43821,AgB2,AlB2
42281,CdI2,CdI2(hR42)
626965,ZrCr2,Laves(cub)#MgCu2
32766,HfO2,Baddeleyite#ZrO2(mP12)
628790,CuS2,Pyrite#FeS2(cP12)
613706,ErB2,AlB2
20362,PbO2,PbO2#Fe2N.94
96946,TiO2,Anatase#TiO2
105465,YbNi2,Laves(cub)#MgCu2
197107,Ga2Au,Fluorite#CaF2
16820,MoAs2,MoAs2
623835,HoCo2,Laves(cub)#MgCu2
652772,TbSn2,ZrSi2
199894,UAs2,UP2#UAs2
252585,SiO2,Zeolite-ZSM-5(P21/n)
52904,Ce2Sb,La2Sb
650165,ThRe2,Laves(2H)#MgZn2
630849,ErNi2,Laves(cub)#MgCu2
161691,TeO2,Cristobalite#SiO2
101171,ZrMn2,Laves(2H)#MgZn2
57868,GdAl2,Laves(cub)#MgCu2
28064,CaC2,CaC2-IV(Fm-3m)#KCN
103766,LaGa2,AlB2
602151,DyMn2,Laves(cub)#MgCu2
68440,Ag2F,Ag2F
39169,TiO2,Rutile#TiO2
155246,SiO2,Cristobalite#SiO2
626781,CrSi2,CrSi2
638554,ZrH2,ThH2
621005,CeFe2,Laves(cub)#MgCu2
42256,CdI2,CdI2(hP18)
625263,CoSn2,CuAl2
645597,NdNi2,Laves(cub)#MgCu2
643858,UMn2,Laves(cub)#MgCu2
103955,ScGa2,CeCu2
625505,TmCo2,Laves(cub)#MgCu2
614900,NbB2,AlB2
652955,TbTe2,PrOI
248522,CaSi2,EuGe2#PtTe2
172174,Cu2O,Cuprite#Cu2O
10510,PrI2,NbSeI
653493,YbZn2,CeCu2
42530,Fe2B,CuAl2
15468,CrCl2,CaCl2
184184,NdMn2,NdMn2Hx(Cmcm)
42524,Hf2Ge,CuAl2
646934,ThNi2,AlB2
409057,CaSi2,CaSi2(hR3)
641083,TbIr2,Laves(cub)#MgCu2
184190,NdMn2,NdMn2Hx(Cmcm)
168138,TiO2,Rutile#TiO2
625511,UCo2,Laves(cub)#MgCu2
248536,CaSi2,ThSi2
633415,ScFe2,Laves(2H)#MgZn2
638540,YH2,Fluorite#CaF2
23870,CaH2,Cotunnite#PbCl2
42242,CdI2,CdI2(hP42)
31284,MnF2,Rutile#TiO2
168676,DySn2,ZrSi2
161134,SiNi2,TiNiSi#MgSrSi
55070,CsBi2,Laves(cub)#MgCu2
643864,UMn2,Laves(cub)#MgCu2
58540,Mg2Au,Co2Si
78848,TiB2,AlB2
612381,Tb2Au,Co2Si
41011,ZrO2,ZrO2(oP12)
42518,Al2Cu,CuAl2
53415,ErS2,Laves(cub)#MgCu2
160558,CoO2,CoO2
167237,CrO2,Rutile#TiO2
633429,ScFe2,Laves(cub)#MgCu2
28919,Al2O,Fluorite#CaF2
102242,CeOs2,Laves(cub)#MgCu2
650993,SnS2,CdI2(hP3)
9191,CdI2,CdI2(hP21)
646897,NiTe2,Pyrite#FeS2(cP12)
100333,Cu2S,Cu2S(mP144)
183984,SnO2,Rutile#TiO2
150504,PrAl2,Laves(cub)#MgCu2
638385,NdH2,Fluorite#CaF2
422,Sr2Si,TiNiSi#MgSrSi
186624,FeSb2,Marcasite#FeS2(oP6)
199704,Th2Al,CuAl2
36312,HgI2,HgI2
186630,FeSb2,Marcasite#FeS2(oP6)
122838,Mg2Sn,Fluorite#CaF2
638391,SmNi2,MgCu2(filled)-frame
656448,CaF2,Fluorite#CaF2
22401,HgI2,HgI2
26667,CuCl2,CuCl2
158602,GeO2,CaCl2
609602,UAl2,Laves(cub)#MgCu2
155326,TaTe2,CrSe2
652160,VSe2,CdI2(hP3)
759747,SnO2,CaCl2
198340,Fe2W,Laves(2H)#MgZn2
163694,TbFe2,Laves(cub)#MgCu2
652606,ZrSi2,ZrSi2
644064,MoO2,MoO2#VO2
158170,AlO2,Diaspore#AlO(OH)
642401,Li2Tl,Li2Ga
250594,NbS2,CdI2(hP3)
613896,Fe2B,CuAl2
423721,CaN2,CaC2-I(I4/mmm)
230260,CaGe2,CdI2(hP6)
759753,SnO2,CaCl2
58391,Zr2Ag,CuZr2
31327,TiO2,Rutile#TiO2
649232,PrRu2,Laves(cub)#MgCu2
409889,EuGa2,CeCu2
638420,SrPd2,MgCu2(filled)-frame
416771,YSn2,ZrSi2
26868,Si2Mo,AlCr2#MoSi2
84577,IrO2,Rutile#TiO2
105288,NdRu2,Laves(cub)#MgCu2
44035,NpAs2,PrOI
627266,EuCu2,CeCu2
621617,CeNi2,Laves(cub)#MgCu2
647592,UO2,Fluorite#CaF2
73855,VO2,VO2(HT)
248442,MgB2,AlB2
645391,NbSe2,MoS2(3R)
643938,ZrMn2,Laves(2H)#MgZn2
636419,GdSi2,GdSi1.4
393,MnO2,Rutile#TiO2
651482,ZrS2,CdI2(hP3)
43028,SrGe2,BaSi2(oP24)
759784,MgF2,CaCl2
58346,PrAg2,Ag2Nd
198383,USb2,UP2#UAs2
43000,MnO2,Diaspore#AlO(OH)
167357,MoSe2,MoS2(4H)
626144,HfCr2,Laves(4H)#MgNi2
646868,TbNi2,Laves(cub)#MgCu2
106965,ScSn2,ScSn2
639064,LaHg2,Cd2Ce
643910,YMn2,Laves(cub)#MgCu2
22398,CO2,CO2(cP12)
254731,AgF2,AgF2
618900,ThC2,Pyrite#FeS2(cP12)
52119,TbS2,Laves(cub)#MgCu2
25391,MoSe2,MoS2(4H)
82890,US2,ZrNiAl#Fe2P
82648,UTe2,UTe2
103438,EuTl2,CaIn2
81816,TcS2,ReSe2
657540,Mg2Si,Fluorite#CaF2
89292,SiO2,Quartz(high)#SiO2
24266,PbI2,CdI2(hR6)
629934,DyMn2,Laves(cub)#MgCu2
19681,D2O,H2O(Ic)
77158,Mo2C,hcp(filled)#Nb2N
603677,PtSe2,BaSi2#EuGe2
30213,CaAl2,Laves(cub)#MgCu2
56182,TiH2,Fluorite#CaF2
260669,BaAu2,SmNiSb
104425,HoNi2,Laves(cub)#MgCu2
40938,CaF2,Fluorite#CaF2
