Collection_Code,Formula,Prototype,composition,composition_oxid,max_ionic_char,avg_ionic_char,min_Number,max_Number,range_Number,mean_Number,avg_dev_Number,mode_Number,min_MendeleevNumber,max_MendeleevNumber,range_MendeleevNumber,mean_MendeleevNumber,avg_dev_MendeleevNumber,mode_MendeleevNumber,min_AtomicWeight,max_AtomicWeight,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,mode_AtomicWeight,min_MeltingT,max_MeltingT,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,mode_MeltingT,min_Column,max_Column,range_Column,mean_Column,avg_dev_Column,mode_Column,min_Row,max_Row,range_Row,mean_Row,avg_dev_Row,mode_Row,min_CovalentRadius,max_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,mode_CovalentRadius,min_Electronegativity,max_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,min_NsValence,max_NsValence,range_NsValence,mean_NsValence,avg_dev_NsValence,mode_NsValence,min_NpValence,max_NpValence,range_NpValence,mean_NpValence,avg_dev_NpValence,mode_NpValence,min_NdValence,max_NdValence,range_NdValence,mean_NdValence,avg_dev_NdValence,mode_NdValence,min_NfValence,max_NfValence,range_NfValence,mean_NfValence,avg_dev_NfValence,mode_NfValence,min_NValence,max_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,min_NsUnfilled,max_NsUnfilled,range_NsUnfilled,mean_NsUnfilled,avg_dev_NsUnfilled,mode_NsUnfilled,min_NpUnfilled,max_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,min_NdUnfilled,max_NdUnfilled,range_NdUnfilled,mean_NdUnfilled,avg_dev_NdUnfilled,mode_NdUnfilled,min_NfUnfilled,max_NfUnfilled,range_NfUnfilled,mean_NfUnfilled,avg_dev_NfUnfilled,mode_NfUnfilled,min_NUnfilled,max_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,min_GSvolume_pa,max_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,min_GSbandgap,max_GSbandgap,range_GSbandgap,mean_GSbandgap,avg_dev_GSbandgap,mode_GSbandgap,min_GSmagmom,max_GSmagmom,range_GSmagmom,mean_GSmagmom,avg_dev_GSmagmom,mode_GSmagmom,avg_anion_electron_affinity,band_center,chg_dispro,e1_symbol,e1_avg_oxi,e2_symbol,e2_avg_oxi,e1_composition,e1_Number,e1_MendeleevNumber,e1_AtomicWeight,e1_MeltingT,e1_Column,e1_Row,e1_CovalentRadius,e1_Electronegativity,e1_NsValence,e1_NpValence,e1_NdValence,e1_NfValence,e1_NValence,e1_NsUnfilled,e1_NpUnfilled,e1_NdUnfilled,e1_NfUnfilled,e1_NUnfilled,e1_GSvolume_pa,e1_GSbandgap,e1_GSmagmom,e2_composition,e2_Number,e2_MendeleevNumber,e2_AtomicWeight,e2_MeltingT,e2_Column,e2_Row,e2_CovalentRadius,e2_Electronegativity,e2_NsValence,e2_NpValence,e2_NdValence,e2_NfValence,e2_NValence,e2_NsUnfilled,e2_NpUnfilled,e2_NdUnfilled,e2_NfUnfilled,e2_NUnfilled,e2_GSvolume_pa,e2_GSbandgap,e2_GSmagmom
159910,TiO2,Anatase#TiO2,Ti1 O2,Ti4+1 O2-2,0.5944454949366794,0.13209899887481763,8.0,22.0,14.0,12.666666666666666,6.222222222222221,8.0,43.0,87.0,44.0,72.33333333333333,19.555555555555557,87.0,15.9994,47.867,31.867599999999996,26.62193333333333,14.163377777777777,15.9994,54.8,1941.0,1886.2,683.5333333333333,838.3111111111111,54.8,4.0,16.0,12.0,12.0,5.333333333333333,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,160.0,94.0,97.33333333333333,41.77777777777778,66.0,1.54,3.44,1.9,2.8066666666666666,0.8444444444444444,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,9.105,16.69,7.585000000000001,11.633333333333335,3.371111111111112,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,7.5111111111e-06,1.00148148148e-05,0.0,-282000.0,5.812100762654849,False,Ti,4.0,O,-2.0,Ti1,22.0,43.0,47.867,1941.0,4.0,4.0,160.0,1.54,2.0,0.0,2.0,0.0,4.0,0.0,0.0,8.0,0.0,8.0,16.69,0.0,2.25333333333e-05,O1,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0
180903,SiO2,Cristobalite#SiO2,Si1 O2,Si4+1 O2-2,0.4472779356966061,0.09939509682146802,8.0,14.0,6.0,10.0,2.6666666666666665,8.0,78.0,87.0,9.0,84.0,4.0,87.0,15.9994,28.0855,12.0861,20.0281,5.3716,15.9994,54.8,1687.0,1632.2,598.8666666666667,725.4222222222221,54.8,14.0,16.0,2.0,15.333333333333334,0.8888888888888887,16.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,66.0,111.0,45.0,81.0,20.0,66.0,1.9,3.44,1.54,2.9266666666666663,0.6844444444444445,3.44,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.3333333333333335,0.8888888888888888,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,9.105,20.44,11.335,12.883333333333335,5.037777777777778,9.105,0.0,0.773,0.773,0.25766666666666665,0.3435555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-282000.0,6.4719201302872005,False,Si,4.0,O,-2.0,Si1,14.0,78.0,28.0855,1687.0,14.0,3.0,111.0,1.9,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,20.44,0.773,0.0,O1,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0
246888,MnO2,Rutile#TiO2,Mn1 O2,Mn4+1 O2-2,0.5905846039144353,0.13124102309209673,8.0,25.0,17.0,13.666666666666666,7.5555555555555545,8.0,52.0,87.0,35.0,75.33333333333333,15.555555555555557,87.0,15.9994,54.938045,38.938645,28.978948333333335,17.306064444444445,15.9994,54.8,1519.0,1464.2,542.8666666666667,650.7555555555556,54.8,7.0,16.0,9.0,13.0,4.0,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,139.0,73.0,90.33333333333333,32.44444444444444,66.0,1.55,3.44,1.89,2.81,0.8399999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,6.333333333333333,0.44444444444444436,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,9.105,10.4875862069,1.3825862068999992,9.565862068966666,0.6144827586222217,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,0.00010337356321833333,0.00013783141762444443,0.0,-282000.0,5.956462551973061,False,Mn,4.0,O,-2.0,Mn1,25.0,52.0,54.938045,1519.0,7.0,4.0,139.0,1.55,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,10.4875862069,0.0,0.000310120689655,O1,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0
108587,MgZn2,Laves(2H)#MgZn2,Mg1 Zn2,Mg0+1 Zn0+2,0.02848638902970424,0.006330308673267608,12.0,30.0,18.0,24.0,8.0,30.0,68.0,69.0,1.0,68.66666666666667,0.44444444444444287,69.0,24.305,65.38,41.074999999999996,51.68833333333333,18.255555555555553,65.38,692.68,923.0,230.32000000000005,769.4533333333333,102.36444444444446,692.68,2.0,12.0,10.0,8.666666666666666,4.444444444444445,12.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,122.0,141.0,19.0,128.33333333333334,8.444444444444448,122.0,1.31,1.65,0.33999999999999986,1.5366666666666664,0.1511111111111111,1.65,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0,8.666666666666666,4.444444444444445,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96,22.89,8.93,16.936666666666667,3.968888888888889,13.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.38570317538063,False,Mg,0.0,Zn,0.0,Mg1,12.0,68.0,24.305,923.0,2.0,3.0,141.0,1.31,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.89,0.0,0.0,Zn1,30.0,69.0,65.38,692.68,12.0,4.0,122.0,1.65,2.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,13.96,0.0,0.0
89278,SiO2,Quartz(low)#SiO2,Si1 O2,Si4+1 O2-2,0.4472779356966061,0.09939509682146802,8.0,14.0,6.0,10.0,2.6666666666666665,8.0,78.0,87.0,9.0,84.0,4.0,87.0,15.9994,28.0855,12.0861,20.0281,5.3716,15.9994,54.8,1687.0,1632.2,598.8666666666667,725.4222222222221,54.8,14.0,16.0,2.0,15.333333333333334,0.8888888888888887,16.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,66.0,111.0,45.0,81.0,20.0,66.0,1.9,3.44,1.54,2.9266666666666663,0.6844444444444445,3.44,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.3333333333333335,0.8888888888888888,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,9.105,20.44,11.335,12.883333333333335,5.037777777777778,9.105,0.0,0.773,0.773,0.25766666666666665,0.3435555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-282000.0,6.4719201302872005,False,Si,4.0,O,-2.0,Si1,14.0,78.0,28.0855,1687.0,14.0,3.0,111.0,1.9,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,20.44,0.773,0.0,O1,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0
616290,HfBe2,SmNiSb,Hf1 Be2,Hf0+1 Be0+2,0.018059929014893283,0.0040133175588651735,4.0,72.0,68.0,26.666666666666668,30.222222222222218,4.0,45.0,67.0,22.0,59.666666666666664,9.777777777777779,67.0,9.012182,178.49,169.477818,65.504788,75.32347466666668,9.012182,1560.0,2506.0,946.0,1875.3333333333333,420.4444444444444,1560.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,2.0,6.0,4.0,3.3333333333333335,1.777777777777778,2.0,96.0,175.0,79.0,122.33333333333333,35.11111111111111,96.0,1.3,1.57,0.27,1.4800000000000002,0.11999999999999995,1.57,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,2.0,18.0,16.0,7.333333333333333,7.111111111111112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,7.89,22.2,14.309999999999999,12.659999999999998,6.359999999999999,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.201316642403662,False,Hf,0.0,Be,0.0,Hf1,72.0,45.0,178.49,2506.0,4.0,6.0,175.0,1.3,2.0,0.0,2.0,14.0,18.0,0.0,0.0,8.0,0.0,8.0,22.2,0.0,0.0,Be1,4.0,67.0,9.012182,1560.0,2.0,2.0,96.0,1.57,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0
649780,Tl2Pt,CuAl2,Tl2 Pt1,Tl+2 Pt2-1,0.1031799049762131,0.0229288677724918,78.0,81.0,3.0,80.0,1.3333333333333333,81.0,63.0,76.0,13.0,71.66666666666667,5.777777777777776,76.0,195.084,204.3833,9.299299999999988,201.28353333333334,4.1330222222222135,204.3833,577.0,2041.4,1464.4,1065.1333333333334,650.8444444444445,577.0,10.0,13.0,3.0,12.0,1.3333333333333333,13.0,6.0,6.0,0.0,6.0,0.0,6.0,136.0,145.0,9.0,142.0,4.0,145.0,1.62,2.28,0.6599999999999997,1.8399999999999999,0.29333333333333317,1.62,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,9.0,10.0,1.0,9.666666666666666,0.44444444444444464,10.0,14.0,14.0,0.0,14.0,0.0,14.0,24.0,27.0,3.0,26.0,1.3333333333333333,27.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,4.0,1.3333333333333333,5.0,15.02,26.91,11.89,22.94666666666667,5.284444444444444,26.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-410600.0,3.8129744060599156,False,Pt,-2.0,Tl,1.0,Pt1,78.0,63.0,195.084,2041.4,10.0,6.0,136.0,2.28,1.0,0.0,9.0,14.0,24.0,1.0,0.0,1.0,0.0,2.0,15.02,0.0,0.0,Tl1,81.0,76.0,204.3833,577.0,13.0,6.0,145.0,1.62,2.0,1.0,10.0,14.0,27.0,0.0,5.0,0.0,0.0,5.0,26.91,0.0,0.0
638179,HfV2,MgCu2(filled)-frame,Hf1 V2,Hf0+1 V0+2,0.0268577401186475,0.005968386693032777,23.0,72.0,49.0,39.333333333333336,21.777777777777782,23.0,45.0,46.0,1.0,45.666666666666664,0.44444444444444525,46.0,50.9415,178.49,127.54850000000002,93.45766666666667,56.68822222222223,50.9415,2183.0,2506.0,323.0,2290.6666666666665,143.55555555555551,2183.0,4.0,5.0,1.0,4.666666666666667,0.44444444444444436,5.0,4.0,6.0,2.0,4.666666666666667,0.888888888888889,4.0,153.0,175.0,22.0,160.33333333333334,9.77777777777778,153.0,1.3,1.63,0.32999999999999985,1.5199999999999998,0.14666666666666664,1.63,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.6666666666666665,0.4444444444444445,3.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,5.0,18.0,13.0,9.333333333333334,5.777777777777779,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,7.333333333333333,0.44444444444444436,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,7.333333333333333,0.44444444444444436,7.0,13.01,22.2,9.19,16.073333333333334,4.084444444444444,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5596154755728513,False,Hf,0.0,V,0.0,Hf1,72.0,45.0,178.49,2506.0,4.0,6.0,175.0,1.3,2.0,0.0,2.0,14.0,18.0,0.0,0.0,8.0,0.0,8.0,22.2,0.0,0.0,V1,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0
52468,TmSi2,AlB2,Tm1 Si2,Tm0+1 Si0+2,0.10023800443234598,0.022275112096076886,14.0,69.0,55.0,32.333333333333336,24.444444444444446,14.0,37.0,78.0,41.0,64.33333333333333,18.222222222222225,78.0,28.0855,168.93421,140.84871,75.03507,62.59942666666668,28.0855,1687.0,1818.0,131.0,1730.6666666666667,58.22222222222225,1687.0,3.0,14.0,11.0,10.333333333333334,4.888888888888888,14.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,111.0,190.0,79.0,137.33333333333334,35.111111111111114,111.0,1.25,1.9,0.6499999999999999,1.6833333333333333,0.2888888888888888,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,4.333333333333333,5.777777777777779,0.0,4.0,15.0,11.0,7.666666666666667,4.888888888888889,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,1.0,4.0,3.0,3.0,1.3333333333333333,4.0,20.44,29.78,9.34,23.55333333333333,4.15111111111111,20.44,0.0,0.773,0.773,0.5153333333333333,0.3435555555555556,0.773,0.0,0.0,0.0,0.0,0.0,0.0,,4.239588287273016,False,Tm,0.0,Si,0.0,Tm1,69.0,37.0,168.93421,1818.0,3.0,6.0,190.0,1.25,2.0,0.0,0.0,13.0,15.0,0.0,0.0,0.0,1.0,1.0,29.78,0.0,0.0,Si1,14.0,78.0,28.0855,1687.0,14.0,3.0,111.0,1.9,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,20.44,0.773,0.0
244053,MoO2,MoO2#VO2,Mo1 O2,Mo4+1 O2-2,0.33608423666452636,0.07468538592545029,8.0,42.0,34.0,19.333333333333332,15.111111111111109,8.0,50.0,87.0,37.0,74.66666666666667,16.444444444444443,87.0,15.9994,95.96,79.9606,42.65293333333333,35.53804444444444,15.9994,54.8,2896.0,2841.2,1001.8666666666667,1262.7555555555555,54.8,6.0,16.0,10.0,12.666666666666666,4.444444444444445,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,154.0,88.0,95.33333333333333,39.11111111111111,66.0,2.16,3.44,1.2799999999999998,3.013333333333333,0.5688888888888889,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.3333333333333335,1.777777777777778,2.0,9.105,15.69,6.584999999999999,11.299999999999999,2.926666666666666,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-282000.0,6.062247965879599,False,Mo,4.0,O,-2.0,Mo1,42.0,50.0,95.96,2896.0,6.0,5.0,154.0,2.16,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,15.69,0.0,0.0,O1,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0
