,Name,Importances
30,(e1_Column+e2_Row)/e1_Column,0.07280139930575355
29,(e1_Column-e2_Row)/e2_Row,0.07225158688151727
28,(e2_NpValence+e2_NUnfilled)/e2_NUnfilled,0.06801336530019189
27,(e1_Column+e2_Row)/e2_Row,0.06691884989936266
26,(e1_Column-e2_Row)/e1_Column,0.06586458948027951
25,(e2_NpValence-e2_NUnfilled)/e2_NUnfilled,0.06567146784989068
24,(e2_NpValence-e2_NUnfilled)/e2_NpValence,0.06299552695293248
23,e1_Column/e2_Row,0.06253399427014429
22,(e2_NpValence+e2_NUnfilled)/e2_NpValence,0.061496204010148395
21,e2_NpValence/e2_NUnfilled,0.05882569559342672
20,e2_NpValence/e2_NfValence,0.020377929147506475
19,(e2_NpValence+e2_NfValence)/e2_NfValence,0.019551218775561752
18,(e1_MeltingT+e2_MeltingT)/e1_MeltingT,0.018208885116805212
17,e1_Electronegativity/e2_Electronegativity,0.01783651767843371
16,(e2_NpValence-e2_NfValence)/e2_NpValence,0.017707848810166408
15,(e1_MeltingT+e2_MeltingT)/e2_MeltingT,0.017505290401839752
14,e1_MeltingT/e2_MeltingT,0.017286639686895
13,(e1_MeltingT-e2_MeltingT)/e1_MeltingT,0.016868552516632516
12,(e1_MeltingT-e2_MeltingT)/e2_MeltingT,0.016513639255158096
11,(e1_Electronegativity+e2_Electronegativity)/e1_Electronegativity,0.016106083307388778
10,(e1_Electronegativity-e2_Electronegativity)/e2_Electronegativity,0.016035583028230094
9,e1_CovalentRadius/e2_CovalentRadius,0.015511799637501341
8,(e1_CovalentRadius+e2_CovalentRadius)/e1_CovalentRadius,0.015309343076119078
7,(e2_NValence-e2_NdUnfilled)/e2_NValence,0.015308733929600226
6,(e1_CovalentRadius-e2_CovalentRadius)/e2_CovalentRadius,0.015238269821187603
5,(e1_CovalentRadius+e2_CovalentRadius)/e2_CovalentRadius,0.015236242888552954
4,(e1_Electronegativity-e2_Electronegativity)/e1_Electronegativity,0.015111408013756955
3,(e2_NpValence+e2_NfValence)/e2_NpValence,0.015025770061862134
2,(e1_CovalentRadius-e2_CovalentRadius)/e1_CovalentRadius,0.014662162466147977
1,e1_Column/e1_Row,0.014654735849607647
0,(e2_NpValence-e2_NfValence)/e2_NfValence,0.01257066698739886
