,Name,Importances
22,(e1_Column-e2_Row)/e2_Row,0.09573665251854528
21,(e1_Column-e2_Row)/e1_Column,0.09482517962221458
20,e1_Column/e2_Row,0.0864522998646325
19,(e1_Column+e2_Row)/e1_Column,0.08053777840214332
18,(e1_Column+e2_Row)/e2_Row,0.07856695510000714
17,(e2_NpValence-e2_NUnfilled)/e2_NpValence,0.05476526305001519
16,(e2_NpValence-e2_NUnfilled)/e2_NUnfilled,0.05447592457907409
15,(e2_NpValence+e2_NUnfilled)/e2_NpValence,0.04903459477464822
14,e2_NpValence/e2_NUnfilled,0.048858400369005225
13,(e2_NpValence+e2_NUnfilled)/e2_NUnfilled,0.04443155710371308
12,(e2_NpValence+e2_NfValence)/e2_NfValence,0.031846897106168406
11,e1_CovalentRadius/e2_CovalentRadius,0.027029557056434134
10,(e2_NpValence-e2_NfValence)/e2_NpValence,0.026235013058606926
9,(e1_CovalentRadius+e2_CovalentRadius)/e1_CovalentRadius,0.025704664783969357
8,(e1_MeltingT+e2_MeltingT)/e1_MeltingT,0.024501326384998412
7,(e1_MeltingT-e2_MeltingT)/e2_MeltingT,0.024317881511139446
6,(e1_MeltingT-e2_MeltingT)/e1_MeltingT,0.02316695008651746
5,e1_MeltingT/e2_MeltingT,0.022993856067752356
4,(e1_MeltingT+e2_MeltingT)/e2_MeltingT,0.022598815618377437
3,e2_NpValence/e2_NfValence,0.021394049232740027
2,(e1_Electronegativity-e2_Electronegativity)/e2_Electronegativity,0.021270819908300136
1,e1_Electronegativity/e2_Electronegativity,0.020864203083208625
0,(e1_Electronegativity+e2_Electronegativity)/e1_Electronegativity,0.020391360717788708
