,Name,Importances
56,(e1_Column+e2_Row)/e1_Column,0.0665218195752275
55,(e1_Column+e2_Row)/e2_Row,0.06582964467321806
54,e1_Column/e2_Row,0.06334351800553935
53,(e1_Column-e2_Row)/e2_Row,0.062041403201310796
52,(e1_Column-e2_Row)/e1_Column,0.056384957117919784
51,(e2_NpValence-e2_NUnfilled)/e2_NUnfilled,0.044535380513759264
50,(e2_NpValence+e2_NUnfilled)/e2_NpValence,0.04348521607212841
49,(e2_NpValence-e2_NUnfilled)/e2_NpValence,0.04069285168196749
48,(e2_NpValence+e2_NUnfilled)/e2_NUnfilled,0.038452408234988286
47,e2_NpValence/e2_NUnfilled,0.03771300127103967
46,(e1_NsValence-e2_NpValence)/e1_NsValence,0.015581377562196436
45,(e2_NpValence+e2_NfValence)/e2_NfValence,0.013851684092541654
44,(e1_NsValence-e2_NpValence)/e2_NpValence,0.013624256868444925
43,(e1_NsValence+e2_NpValence)/e1_NsValence,0.013274800913655179
42,(e2_NpValence-e2_NfValence)/e2_NpValence,0.012362708570577067
41,(e2_NpValence-e2_NfValence)/e2_NfValence,0.012206653882925775
40,(e1_CovalentRadius-e2_CovalentRadius)/e1_CovalentRadius,0.012162087101840897
39,(e1_Electronegativity+e2_Electronegativity)/e1_Electronegativity,0.012116122552455207
38,(e1_Electronegativity-e2_Electronegativity)/e1_Electronegativity,0.012074849026133847
37,(e1_CovalentRadius+e2_CovalentRadius)/e2_CovalentRadius,0.011928890068139233
36,e1_Electronegativity/e2_Electronegativity,0.011927468504533734
35,e1_CovalentRadius/e2_CovalentRadius,0.01192664026388528
34,(e1_CovalentRadius-e2_CovalentRadius)/e2_CovalentRadius,0.011871858327313337
33,e2_NpValence/e2_NfValence,0.011681451577164676
32,(e1_CovalentRadius+e2_CovalentRadius)/e1_CovalentRadius,0.011538240175112017
31,e1_NsValence/e2_NpValence,0.011192614592335991
30,(e1_NpUnfilled+e2_NdUnfilled)/e2_NdUnfilled,0.011174734104678142
29,(e1_MeltingT+e2_MeltingT)/e1_MeltingT,0.011091934046000018
28,(e1_NUnfilled+e2_NUnfilled)/e1_NUnfilled,0.010806579733920272
27,(e1_Electronegativity-e2_Electronegativity)/e2_Electronegativity,0.010787040295300827
26,e1_MeltingT/e2_MeltingT,0.010586689147242935
25,(e1_MeltingT-e2_MeltingT)/e1_MeltingT,0.010572959159516202
24,(e1_Row+e2_Column)/e2_Column,0.010569845107977966
23,(e1_MeltingT+e2_MeltingT)/e2_MeltingT,0.010548692326410576
22,(e1_Electronegativity+e2_Electronegativity)/e2_Electronegativity,0.01029788411241551
21,(e1_MeltingT-e2_MeltingT)/e2_MeltingT,0.010256275811631063
20,(e2_NpValence+e2_NfValence)/e2_NpValence,0.010147534563590254
19,e1_Column/e1_Row,0.01011659242656719
18,(e1_NUnfilled-e2_NUnfilled)/e2_NUnfilled,0.00970757724364284
17,(e1_NsValence+e2_NpValence)/e2_NpValence,0.009580893363160248
16,(e2_NValence-e2_NdUnfilled)/e2_NValence,0.00918675483996009
15,(e1_NpUnfilled+e2_NdUnfilled)/e1_NpUnfilled,0.009004120945900532
14,(e1_Column-e1_Row)/e1_Column,0.008787727809976578
13,(e2_NValence-e2_NdUnfilled)/e2_NdUnfilled,0.008561561337971233
12,(e2_NValence+e2_NdUnfilled)/e2_NdUnfilled,0.00837169443522796
11,(e1_NsUnfilled-e2_NdValence)/e1_NsUnfilled,0.008355214912692475
10,(e2_NfValence+e2_NValence)/e2_NfValence,0.008085876160153134
9,(e1_Column-e1_Row)/e1_Row,0.007984507769541451
8,(e1_Column+e1_Row)/e1_Column,0.007879713789371521
7,(e1_Row-e2_Column)/e1_Row,0.007798047092156439
6,(e2_NValence+e2_NdUnfilled)/e2_NValence,0.007724056758300807
5,(e1_NpUnfilled-e2_NdUnfilled)/e1_NpUnfilled,0.00765779661579153
4,(e1_Column+e1_Row)/e1_Row,0.007442946524608194
3,(e1_Row-e2_Column)/e2_Column,0.007354064974829896
2,e1_NpUnfilled/e2_NdUnfilled,0.007302147720371061
1,(e1_NpUnfilled-e2_NdUnfilled)/e2_NdUnfilled,0.006970376200443752
0,(e1_NsUnfilled-e2_NpValence)/e1_NsUnfilled,0.006966256244295438
