n_features,precision,recall
1043,0.9485246396164317,0.9797512944571768
782,0.9538118036750859,0.9804048892284186
586,0.947762984729007,0.9758254817078347
439,0.9543474214675131,0.9771369153722095
329,0.9466320016817156,0.9771411594941007
246,0.9514443292519758,0.9751803751803753
184,0.9549419140481621,0.9830150241914948
138,0.9486611315002905,0.9823656735421441
103,0.9564146932711497,0.979097699685935
77,0.9559608902390269,0.9810584839996604
57,0.9547044112341346,0.9869365928189457
42,0.9409484968709052,0.9732238349885408
31,0.9558103673595933,0.9817120787709023
23,0.955700849144798,0.9823656735421441
17,0.9563547380150237,0.9810584839996604
12,0.9474376710181913,0.979755538579068
9,0.9404301449914323,0.9764833206009677
6,0.9461211313111055,0.9784483490365844
4,0.9015237770940894,0.9732238349885408
3,0.8960437169210633,0.9719124013241661
2,0.8898865658774939,0.9699558611323317
1,0.8061028129080677,0.9268737798149562
