n_features,precision,recall
332,0.9497065475146058,0.979097699685935
249,0.9492973831099352,0.979097699685935
186,0.9430839024195163,0.9777905101434513
139,0.9474881949759812,0.9771326712503183
104,0.9544786299316366,0.9836643748408453
78,0.947705043367843,0.9784483490365844
58,0.946062112536006,0.9790892114421526
43,0.9464244808940061,0.9817078346490111
32,0.9501018186172037,0.9790934555640438
24,0.9485275176443952,0.9804006451065275
18,0.9468739156550002,0.9804006451065275
13,0.9563818976206893,0.9843307019777608
9,0.9522856168715087,0.9856294032764621
6,0.9471097441617957,0.9804091333503099
4,0.8985389736661107,0.9634284016636958
3,0.8910522918028289,0.9666921313980137
2,0.9113243260866686,0.9679950768186062
1,0.8191032242449842,0.9268737798149562
