n_features,precision,recall
332,0.9544475064336329,0.9783529411764705
249,0.9507314298723843,0.968470588235294
186,0.9555565676118961,0.9663921568627452
139,0.9452596972758698,0.974313725490196
104,0.945340968361814,0.9703529411764705
78,0.9461289595664102,0.9664313725490196
58,0.9474450843069043,0.9841960784313726
43,0.962588546529723,0.9644705882352941
32,0.9501099411543363,0.970392156862745
24,0.9470621086070586,0.972313725490196
18,0.946466570856693,0.9526274509803923
13,0.9617688955924251,0.9762745098039216
9,0.9304803120851121,0.9665098039215685
6,0.9455222499285446,0.9763137254901959
4,0.9353959976390609,0.9525098039215687
3,0.9315488000369603,0.9743529411764704
2,0.9040854954823352,0.9565490196078432
1,0.9022566725763184,0.9624705882352942
