n_features,precision,recall
509,0.9509334105393948,0.982361429420253
381,0.949177261268705,0.9810584839996604
285,0.9415937333128591,0.9758254817078347
213,0.9501662032882695,0.978439860792802
159,0.9513744627346614,0.9771326712503183
119,0.9573879399037244,0.9764790764790765
89,0.9514219418830155,0.9810627281215517
66,0.9441381896129608,0.9777862660215602
49,0.9502504498973676,0.979097699685935
36,0.9484685037504169,0.9771369153722095
27,0.9495283266133239,0.978439860792802
20,0.9537541604613271,0.9784483490365844
15,0.9478629395867021,0.9791019438078262
11,0.9515703212517469,0.9803964009846362
8,0.9495686065761276,0.9791019438078262
6,0.9511996269363776,0.9784483490365844
4,0.9451661174503713,0.9732195908666498
3,0.9064293663181544,0.9634241575418045
2,0.8887538079717668,0.9706094559035735
1,0.7558360128381408,0.9725829725829727
