,Name,Importances
23,(e1_Column+e2_Row)/e1_Column,0.11838929613402363
22,e1_Column/e2_Row,0.11765438876520776
21,e2_NpValence/e2_NUnfilled,0.08491896554346903
20,(e2_NpValence+e2_NUnfilled)/e2_NpValence,0.07900100636831996
19,e1_Row/e2_Column,0.04295081322886814
18,e1_NpUnfilled/e2_NdUnfilled,0.04109341691532846
17,(e1_Row+e2_Column)/e1_Row,0.04081412950471659
16,(e1_NsValence+e2_NpValence)/e1_NsValence,0.040699883731840955
15,e1_NsValence/e2_NpValence,0.03759099925709192
14,(e1_Column+e1_Row)/e1_Column,0.03500931259582999
13,e1_CovalentRadius/e2_CovalentRadius,0.033773950470744794
12,(e2_NpValence+e2_NsUnfilled)/e2_NpValence,0.031373602296244855
11,e1_Column/e1_Row,0.030469237133211386
10,(e1_CovalentRadius+e2_CovalentRadius)/e1_CovalentRadius,0.02956465224075259
9,(e1_Electronegativity+e2_Electronegativity)/e1_Electronegativity,0.0293111040516404
8,e1_Electronegativity/e2_Electronegativity,0.02904103719739041
7,e1_MeltingT/e2_MeltingT,0.026766724880221866
6,(e1_MeltingT+e2_MeltingT)/e1_MeltingT,0.026510337684565843
5,(e2_NValence+e2_NdUnfilled)/e2_NValence,0.025507009021093617
4,e2_NValence/e2_NdUnfilled,0.02537476379418957
3,(e1_NsUnfilled+e2_NpValence)/e1_NsUnfilled,0.02323550170564163
2,(e2_NpValence+e2_NfUnfilled)/e2_NpValence,0.019615895012703326
1,e1_NpValence/e2_NdValence,0.01939050083414616
0,(e1_NpValence+e2_NdUnfilled)/e1_NpValence,0.011943471632757158
